A)
Gaussian wavelet:
Number of neurons : 8
Lowest found cost: 0.0778493
Optimal p = [-1.476, 0.709101, -1.86171, -1.26858, -0.118404, 0.899121, 0.460178, 0.971936]
            [-0.159075, 1.62448, 0.118801, 0.530285, 0.439675, -1.72938, -0.46258, -1.85491]
            [-1.12411, 0.692006, -1.96921, 1.89747, 1.59834, -1.29359, 1.43661, 0.930652]

Wavelet:
Number of neurons : 8
Lowest found cost: 0.55057
Optimal p = [-1.47357, 0.699911, -1.86171, -1.90326, 0.0745917, 1.13138, 1.45325, 0.854154]
            [-0.166163, 1.74331, 0.118801, 0.608848, 0.892025, -1.95451, -1.05984, -1.60929]
            [-1.12414, 0.0166525, -1.96921, 1.68419, 0.791982, -0.834909, 1.73735, 1.42689]



-0.52953 -0.660791 -0.656568 -0.636891
-0.527528 -0.665831 -0.661449 -0.642249
-0.525526 -0.670817 -0.666276 -0.647559
-0.523524 -0.675749 -0.671051 -0.652821
-0.521522 -0.680625 -0.675771 -0.658032
-0.51952 -0.685445 -0.680437 -0.663192
-0.517518 -0.690207 -0.685047 -0.6683
-0.515516 -0.694912 -0.689601 -0.673355
-0.513514 -0.699557 -0.694097 -0.678356
-0.511512 -0.704143 -0.698536 -0.683301
-0.50951 -0.708668 -0.702916 -0.68819
-0.507508 -0.713132 -0.707236 -0.693022
-0.505506 -0.717534 -0.711497 -0.697795
-0.503504 -0.721874 -0.715696 -0.702509
-0.501502 -0.726149 -0.719834 -0.707162
-0.499499 -0.73036 -0.723909 -0.711754
-0.497497 -0.734506 -0.727921 -0.716284
-0.495495 -0.738585 -0.731869 -0.72075
-0.493493 -0.742598 -0.735753 -0.725152
-0.491491 -0.746543 -0.739571 -0.729489
-0.489489 -0.750421 -0.743323 -0.733759
-0.487487 -0.754229 -0.747008 -0.737962
-0.485485 -0.757967 -0.750626 -0.742097
-0.483483 -0.761635 -0.754176 -0.746162
-0.481481 -0.765231 -0.757657 -0.750158
-0.479479 -0.768756 -0.761068 -0.754082
-0.477477 -0.772208 -0.764409 -0.757935
-0.475475 -0.775587 -0.767679 -0.761714
-0.473473 -0.778891 -0.770878 -0.765421
-0.471471 -0.782121 -0.774004 -0.769052
-0.469469 -0.785276 -0.777057 -0.772608
-0.467467 -0.788354 -0.780037 -0.776087
-0.465465 -0.791356 -0.782942 -0.77949
-0.463463 -0.794281 -0.785773 -0.782814
-0.461461 -0.797127 -0.788528 -0.786059
-0.459459 -0.799895 -0.791207 -0.789225
-0.457457 -0.802584 -0.79381 -0.79231
-0.455455 -0.805193 -0.796335 -0.795314
-0.453453 -0.807721 -0.798782 -0.798236
-0.451451 -0.810169 -0.801151 -0.801075
-0.449449 -0.812535 -0.80344 -0.80383
-0.447447 -0.814818 -0.80565 -0.8065
-0.445445 -0.817019 -0.80778 -0.809086
-0.443443 -0.819137 -0.809829 -0.811585
-0.441441 -0.82117 -0.811797 -0.813998
-0.439439 -0.82312 -0.813682 -0.816324
-0.437437 -0.824984 -0.815486 -0.818562
-0.435435 -0.826763 -0.817206 -0.820711
-0.433433 -0.828456 -0.818843 -0.82277
-0.431431 -0.830063 -0.820396 -0.82474
-0.429429 -0.831582 -0.821865 -0.826619
-0.427427 -0.833015 -0.823248 -0.828406
-0.425425 -0.834359 -0.824547 -0.830102
-0.423423 -0.835615 -0.825759 -0.831705
-0.421421 -0.836783 -0.826885 -0.833215
-0.419419 -0.837861 -0.827924 -0.834631
-0.417417 -0.83885 -0.828876 -0.835953
-0.415415 -0.839749 -0.829741 -0.837181
-0.413413 -0.840557 -0.830517 -0.838313
-0.411411 -0.841275 -0.831205 -0.839349
-0.409409 -0.841902 -0.831804 -0.840289
-0.407407 -0.842437 -0.832314 -0.841132
-0.405405 -0.84288 -0.832734 -0.841878
-0.403403 -0.843231 -0.833064 -0.842526
-0.401401 -0.84349 -0.833304 -0.843076
-0.399399 -0.843656 -0.833453 -0.843527
-0.397397 -0.843729 -0.833511 -0.84388
-0.395395 -0.843708 -0.833477 -0.844133
-0.393393 -0.843594 -0.833352 -0.844286
-0.391391 -0.843386 -0.833135 -0.844339
-0.389389 -0.843084 -0.832826 -0.844291
-0.387387 -0.842688 -0.832425 -0.844143
-0.385385 -0.842197 -0.83193 -0.843894
-0.383383 -0.841611 -0.831343 -0.843543
-0.381381 -0.84093 -0.830662 -0.84309
-0.379379 -0.840154 -0.829888 -0.842536
-0.377377 -0.839282 -0.82902 -0.841879
-0.375375 -0.838315 -0.828058 -0.841119
